jaringan,level,TAS v5,TAS dirapikan,TAS v5 hilang,TAS baru,Terputus 30 v5,Terputus 30 dirapikan,Jauh 20 v5,Jauh 30 v5,Jauh 40 v5,Jauh 20 dirapikan,Jauh 30 dirapikan,Jauh 40 dirapikan,Median waktu min v5,Median waktu min dirapikan,P90 waktu min v5,P90 waktu min dirapikan,Median waktu min terjangkau v5,Median waktu min terjangkau dirapikan,P90 waktu min terjangkau v5,P90 waktu min terjangkau dirapikan,Baris Tipologi 4 (K=4) v5,Tipologi 4 tak terjangkau di v5,Tipologi 4 menjadi terjangkau
dirapikan_1m,Baseline,62,62,0,0,111,110,722,205,33,722,205,33,5.810452209441573,5.810452209441573,13.609013802149061,13.609013802149061,5.78155731961713,5.781673623964613,13.329179109190363,13.329890245099678,113,111,1
dirapikan_1m,Rendah,70,70,0,0,126,125,753,254,29,753,254,29,5.802583910644234,5.802583910644234,13.635382151289795,13.635382151289795,5.772792435836532,5.772957442500394,13.30376729819023,13.30530301437517,128,126,1
dirapikan_1m,Sedang,77,77,0,0,502,501,286,64,4,286,64,4,5.483637653833181,5.483637653833181,12.804444038863268,12.804444038863268,5.356726393475425,5.356828221260162,11.723913081904556,11.725697485858758,497,493,1
dirapikan_1m,Tinggi,44,44,0,0,651,650,658,318,171,658,318,171,6.2853738621668835,6.2853738621668835,17.682722968093916,17.682722968093916,6.031726492343089,6.03233934859521,14.582681667890778,14.583719774175897,684,639,1
dirapikan_2m,Baseline,62,62,0,0,111,110,722,205,33,722,205,33,5.810452209441573,5.810452209441573,13.609013802149061,13.609013802149061,5.78155731961713,5.781673623964613,13.329179109190363,13.329890245099678,113,111,1
dirapikan_2m,Rendah,70,70,0,0,126,125,753,254,29,753,254,29,5.802583910644234,5.802583910644234,13.635382151289795,13.635382151289795,5.772792435836532,5.772957442500394,13.30376729819023,13.30530301437517,128,126,1
dirapikan_2m,Sedang,77,77,0,0,502,501,286,64,4,286,64,4,5.483637653833181,5.483637653833181,12.804444038863268,12.804444038863268,5.356726393475425,5.356828221260162,11.723913081904556,11.725697485858758,497,493,1
dirapikan_2m,Tinggi,44,44,0,0,651,650,658,318,171,658,318,171,6.2853738621668835,6.2853738621668835,17.682722968093916,17.682722968093916,6.031726492343089,6.03233934859521,14.582681667890778,14.583719774175897,684,639,1
