id_grid,level,DI v5,T_aktual v5,DI dirapikan 1 m,T_aktual dirapikan 1 m,status dirapikan 1 m
9017,Tinggi,118.50855891157862,357.13581540308627,118.50855891157862,357.13581540308627,TAS
13219,Tinggi,116.15703704293966,72.88641267841822,116.15703704293966,72.88641267841822,TAS
11859,Tinggi,101.07569638381354,357.99732393782085,101.07569638381354,357.99732393782085,TAS
14598,Rendah,82.11285860410001,51.320536627562504,82.11285860410001,51.320536627562504,TAS
14598,Baseline,82.11285860410001,51.320536627562504,82.11285860410001,51.320536627562504,TAS
14598,Sedang,82.11285860410001,51.320536627562504,82.11285860410001,51.320536627562504,TAS
14598,Tinggi,82.11285860410001,51.320536627562504,82.11285860410001,51.320536627562504,TAS
13328,Tinggi,53.15213346901058,190.4835807860547,53.15213346901058,190.4835807860547,TAS
8895,Sedang,48.23673080634587,30.147956753966167,48.23673080634587,30.147956753966167,TAS
8895,Rendah,48.23673080634587,30.147956753966167,48.23673080634587,30.147956753966167,TAS
