Variabel,n,Rata-rata,Simpangan baku,Min,Q1,Median,Q3,Maks
Waktu TES Pendidikan (menit),22673,12.446265,28.585496,0.192059,5.690564,9.220082,13.707633,403.86917
Waktu TES Kesehatan (menit),22673,35.589735,36.315741,0.495356,19.907341,31.070532,43.729924,403.86917
Waktu TES Pemerintahan (menit),22673,22.523696,35.202943,0.17889,10.590195,17.9331,26.736562,403.86917
Waktu TES Tempat Ibadah (menit),22673,10.654131,28.271601,0.159925,4.516174,7.40752,11.410488,403.86917
Waktu TES GOR/Gedung Serbaguna (menit),22673,39.950459,38.701214,0.302998,20.073474,34.155734,50.446129,403.86917
Waktu TES minimum (menit),22673,9.041001,28.256857,0.159925,3.460141,5.810452,9.110327,403.86917
