K=2 \ K=4,K4-0,K4-1,K4-2,K4-3,K4-0 (% baris K2),K4-1 (% baris K2),K4-2 (% baris K2),K4-3 (% baris K2)
K2-0,20397,18114,603,33,52.10360947199019,46.27174496129972,1.5403479193807956,0.08429764732929727
K2-1,0,8955,30612,1389,0.0,21.86492821564606,74.74362730735423,3.3914444769997067
