Dari,ke K0,ke K1,ke K2,ke K3,ke Tergenang
K0,1803,981,490,88,1277
K1,7,4360,1474,116,1239
K2,1,18,5675,306,966
K3,0,0,5,174,318
Tergenang,0,0,0,0,3375
