Variabel,n,Rata-rata,Simpangan baku,Min,Q1,Median,Q3,Maks
Waktu TES Pendidikan (menit),22673,11.563534,28.506701,0.0,4.892729,8.346551,12.764759,402.26338
Waktu TES Kesehatan (menit),22673,34.735057,36.225723,0.0,19.122151,30.220399,42.815994,402.26338
Waktu TES Pemerintahan (menit),22673,21.64243,35.105047,0.0,9.802246,17.046,25.853863,402.26338
Waktu TES Tempat Ibadah (menit),22673,9.781246,28.205313,0.0,3.738394,6.559505,10.415992,402.26338
Waktu TES GOR/Gedung Serbaguna (menit),22673,39.059449,38.598467,0.0,19.214764,33.350848,49.572088,402.26338
Waktu TES minimum (menit),22673,8.160372,28.186105,0.0,2.677175,4.960176,8.187635,402.26338
