Level,Rata-rata waktu minimum,Median waktu minimum,Rata-rata Pendidikan,Rata-rata Kesehatan,Rata-rata Pemerintahan,Rata-rata Tempat Ibadah,Rata-rata GOR/Gedung Serbaguna
Baseline,8.160372,4.960176,11.563534,34.735057,21.64243,9.781246,39.059449
Rendah,9.289049,5.545678,13.31032,40.029133,25.560177,10.964442,42.319927
Sedang,51.671846,8.023243,63.388315,127.623609,87.406973,59.921454,104.159716
Tinggi,105.701432,8.868972,122.132014,225.494892,152.541713,111.030277,180.834946
