Transisi,Masuk Tergenang (grid),Masuk Tergenang (% semua grid),Grid non-Tergenang di kedua level,Stability rate (%),ARI,Transisi dominan,Jumlah (dominan),Dominan menuju,Active edges,Edge mungkin,CDVM
Baseline → Rendah,39,0.172011,22634,99.783512,0.991358,K0 → K1,48,tipologi lain,4,6,0.002249
Rendah → Sedang,3336,14.713536,19298,92.253083,0.714114,K1 → Tergenang,1951,Tergenang,4,6,0.147135
Sedang → Tinggi,3800,16.760023,15498,82.862305,0.431745,K0 → K1,2641,tipologi lain,4,6,0.212411
Baseline → Tinggi,7175,31.64557,15498,76.906698,0.289019,K0 → Tergenang,4144,Tergenang,4,6,0.339126
