Metrik,Nilai
I-Index,1.249668
Ketegasan partisi,0.339917
Koefisien partisi (PC),0.684787
Entropi partisi (PE),0.481745
Dunn (rerata 5 sampel),0.005648
Dunn (sd 5 sampel),0.001843
DESC (blok rook),0.044361
PESC (km),66.52237855113364
Silhouette (sampel 10.000),0.242711
Size entropy,0.692892
Klaster terbesar (%),51.129171
Proporsi tetangga rook berlabel sama,0.919838
