_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_75pct,waktu_tes_kesehatan_banjir_bandang_75pct,waktu_tes_pemerintahan_banjir_bandang_75pct,waktu_tes_ibadah_banjir_bandang_75pct,waktu_tes_gor_banjir_bandang_75pct,jumlah_opsi_rute_banjir_bandang_75pct,Jumlah_Grid,Mean_MaxMembership
0,0.655,0.055,14.021,52.483,29.267,10.775,55.658,4.988,10478,0.84
1,0.585,0.187,306.962,399.09,340.367,277.27,341.443,0.888,857,0.877
2,0.78,0.025,6.569,24.8,13.101,4.794,54.31,5.0,6382,0.74
3,1.081,0.005,5.449,27.181,8.977,5.025,15.205,4.994,4956,0.814
