_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_0pct,waktu_tes_kesehatan_banjir_bandang_0pct,waktu_tes_pemerintahan_banjir_bandang_0pct,waktu_tes_ibadah_banjir_bandang_0pct,waktu_tes_gor_banjir_bandang_0pct,jumlah_opsi_rute_banjir_bandang_0pct,Jumlah_Grid,Mean_MaxMembership
0,0.738,0.027,8.224,18.124,15.695,6.802,60.296,4.981,4438,0.737
1,0.594,0.02,17.817,51.429,36.24,14.916,56.828,4.917,7520,0.807
2,0.825,0.048,7.939,36.942,15.088,6.038,26.299,4.996,7128,0.724
3,1.134,0.087,4.706,16.91,6.883,4.542,15.594,5.0,3587,0.798
