_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_0pct,waktu_tes_kesehatan_banjir_0pct,waktu_tes_pemerintahan_banjir_0pct,waktu_tes_ibadah_banjir_0pct,waktu_tes_gor_banjir_0pct,jumlah_opsi_rute_banjir_0pct,Jumlah_Grid,Mean_MaxMembership
0,0.764,0.733,8.647,31.21,17.189,6.719,35.064,4.993,10847,0.729
1,0.615,0.641,20.415,52.57,38.231,17.844,59.01,4.907,6921,0.818
2,1.05,1.229,5.525,17.366,8.084,5.176,19.744,4.998,4905,0.796
