_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_75pct,waktu_tes_kesehatan_banjir_75pct,waktu_tes_pemerintahan_banjir_75pct,waktu_tes_ibadah_banjir_75pct,waktu_tes_gor_banjir_75pct,jumlah_opsi_rute_banjir_75pct,Jumlah_Grid,Mean_MaxMembership
0,0.622,0.301,11.023,65.068,29.711,9.46,71.457,4.968,8376,0.908
1,0.838,1.628,385.785,401.09,399.727,354.867,401.56,0.179,6648,0.935
2,0.904,0.663,15.211,248.553,72.519,12.605,108.77,4.35,7649,0.837
