_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_50pct,waktu_tes_kesehatan_banjir_bandang_50pct,waktu_tes_pemerintahan_banjir_bandang_50pct,waktu_tes_ibadah_banjir_bandang_50pct,waktu_tes_gor_banjir_bandang_50pct,jumlah_opsi_rute_banjir_bandang_50pct,Jumlah_Grid,Mean_MaxMembership
0,0.658,0.052,13.304,49.43,28.626,10.394,55.121,4.994,10790,0.844
1,0.589,0.165,285.046,398.153,321.244,238.929,322.166,1.143,825,0.866
2,0.773,0.026,6.305,22.861,13.18,4.643,55.48,5.0,5874,0.741
3,1.074,0.014,5.584,27.202,9.035,5.242,15.477,4.995,5184,0.817
