Level,Rata-rata waktu minimum,Median waktu minimum,Rata-rata Pendidikan,Rata-rata Kesehatan,Rata-rata Pemerintahan,Rata-rata Tempat Ibadah,Rata-rata GOR/Gedung Serbaguna
Baseline,9.041001,5.810452,12.446265,35.589735,22.523696,10.654131,39.950459
Rendah,9.835204,6.116949,13.869005,41.031808,26.582486,11.501798,43.542026
Sedang,27.095443,6.888275,34.833996,93.816419,56.689703,31.523118,76.227591
Tinggi,43.769836,7.114899,60.78341,183.349584,93.80435,47.784657,124.051634
