Metrik,Nilai
I-Index,1.526636
Ketegasan partisi,0.353883
Dunn (rerata 5 sampel),0.006983
Dunn (sd 5 sampel),0.002417
DESC (blok rook),0.122629
PESC (km),0.006202251262807922
Silhouette (sampel 10.000),0.273388
Size entropy,0.676561
Proporsi tetangga rook berlabel sama,0.940115
