_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_0pct,waktu_tes_kesehatan_banjir_0pct,waktu_tes_pemerintahan_banjir_0pct,waktu_tes_ibadah_banjir_0pct,waktu_tes_gor_banjir_0pct,jumlah_opsi_rute_banjir_0pct,is_isolated_pendidikan_banjir_0pct,is_isolated_kesehatan_banjir_0pct,is_isolated_pemerintahan_banjir_0pct,is_isolated_ibadah_banjir_0pct,is_isolated_gor_banjir_0pct,Jumlah_Grid
0,0.74,0.662,8.453,32.459,18.352,6.285,35.778,4.999,0.0,0.0,0.0,0.0,0.0,9062
1,0.628,0.678,21.535,52.72,38.403,19.069,58.893,4.895,0.016,0.024,0.024,0.016,0.024,6899
2,0.992,1.153,5.514,19.322,8.857,4.955,23.104,5.0,0.0,0.0,0.0,0.0,0.0,6712
