_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_0pct,waktu_tes_kesehatan_banjir_bandang_0pct,waktu_tes_pemerintahan_banjir_bandang_0pct,waktu_tes_ibadah_banjir_bandang_0pct,waktu_tes_gor_banjir_bandang_0pct,jumlah_opsi_rute_banjir_bandang_0pct,is_isolated_pendidikan_banjir_bandang_0pct,is_isolated_kesehatan_banjir_bandang_0pct,is_isolated_pemerintahan_banjir_bandang_0pct,is_isolated_ibadah_banjir_bandang_0pct,is_isolated_gor_banjir_bandang_0pct,Jumlah_Grid
0,0.781,0.04,10.653,34.797,20.822,8.787,41.288,4.969,0.005,0.007,0.007,0.005,0.007,22658
1,0.243,2.4,86.256,102.949,98.901,95.313,102.981,4.0,0.2,0.2,0.2,0.2,0.2,5
2,0.28,0.0,402.263,402.263,402.263,402.263,402.263,0.0,1.0,1.0,1.0,1.0,1.0,5
3,0.289,0.6,24.82,40.108,24.569,22.906,61.861,5.0,0.0,0.0,0.0,0.0,0.0,5
