_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_25pct,waktu_tes_kesehatan_banjir_25pct,waktu_tes_pemerintahan_banjir_25pct,waktu_tes_ibadah_banjir_25pct,waktu_tes_gor_banjir_25pct,jumlah_opsi_rute_banjir_25pct,is_isolated_pendidikan_banjir_25pct,is_isolated_kesehatan_banjir_25pct,is_isolated_pemerintahan_banjir_25pct,is_isolated_ibadah_banjir_25pct,is_isolated_gor_banjir_25pct,Jumlah_Grid
0,0.782,0.767,12.887,38.779,24.243,10.463,41.317,4.979,0.004,0.004,0.004,0.004,0.004,20996
1,0.761,1.755,24.486,68.891,52.375,22.195,65.559,4.717,0.03,0.075,0.075,0.028,0.075,1270
2,0.745,0.224,5.476,14.435,11.089,4.573,21.535,5.0,0.0,0.0,0.0,0.0,0.0,407
