_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_75pct,waktu_tes_kesehatan_banjir_75pct,waktu_tes_pemerintahan_banjir_75pct,waktu_tes_ibadah_banjir_75pct,waktu_tes_gor_banjir_75pct,jumlah_opsi_rute_banjir_75pct,is_isolated_pendidikan_banjir_75pct,is_isolated_kesehatan_banjir_75pct,is_isolated_pemerintahan_banjir_75pct,is_isolated_ibadah_banjir_75pct,is_isolated_gor_banjir_75pct,Jumlah_Grid
0,0.578,0.227,16.586,51.986,28.801,15.051,49.435,4.897,0.019,0.021,0.021,0.021,0.021,2768
1,0.812,0.835,127.327,243.385,158.234,111.267,189.345,3.282,0.296,0.518,0.3,0.256,0.347,18635
2,0.761,1.755,279.312,341.155,340.582,330.466,342.349,1.072,0.68,0.813,0.813,0.808,0.813,1270
