_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_25pct,waktu_tes_kesehatan_banjir_25pct,waktu_tes_pemerintahan_banjir_25pct,waktu_tes_ibadah_banjir_25pct,waktu_tes_gor_banjir_25pct,jumlah_opsi_rute_banjir_25pct,is_isolated_pendidikan_banjir_25pct,is_isolated_kesehatan_banjir_25pct,is_isolated_pemerintahan_banjir_25pct,is_isolated_ibadah_banjir_25pct,is_isolated_gor_banjir_25pct,Jumlah_Grid
0,0.781,0.812,13.301,39.933,25.483,10.911,42.225,4.966,0.005,0.008,0.008,0.005,0.008,22667
1,0.28,1.0,402.263,402.263,402.263,402.263,402.263,0.0,1.0,1.0,1.0,1.0,1.0,5
2,0.401,3.0,402.263,402.263,402.263,402.263,402.263,0.0,1.0,1.0,1.0,1.0,1.0,1
