_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_100pct,waktu_tes_kesehatan_banjir_bandang_100pct,waktu_tes_pemerintahan_banjir_bandang_100pct,waktu_tes_ibadah_banjir_bandang_100pct,waktu_tes_gor_banjir_bandang_100pct,jumlah_opsi_rute_banjir_bandang_100pct,is_isolated_pendidikan_banjir_bandang_100pct,is_isolated_kesehatan_banjir_bandang_100pct,is_isolated_pemerintahan_banjir_bandang_100pct,is_isolated_ibadah_banjir_bandang_100pct,is_isolated_gor_banjir_bandang_100pct,Jumlah_Grid
0,0.549,0.045,25.685,73.619,37.548,18.743,60.375,4.8,0.042,0.044,0.042,0.029,0.044,2361
1,0.761,0.167,65.674,149.853,87.405,60.273,116.17,4.092,0.126,0.316,0.171,0.124,0.171,1270
2,0.812,0.032,17.829,43.709,28.006,15.191,53.561,4.89,0.022,0.023,0.023,0.02,0.023,18635
3,0.745,0.0,6.44,15.379,12.049,5.249,23.547,4.988,0.002,0.002,0.002,0.002,0.002,407
