_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_25pct,waktu_tes_kesehatan_banjir_bandang_25pct,waktu_tes_pemerintahan_banjir_bandang_25pct,waktu_tes_ibadah_banjir_bandang_25pct,waktu_tes_gor_banjir_bandang_25pct,jumlah_opsi_rute_banjir_bandang_25pct,is_isolated_pendidikan_banjir_bandang_25pct,is_isolated_kesehatan_banjir_bandang_25pct,is_isolated_pemerintahan_banjir_bandang_25pct,is_isolated_ibadah_banjir_bandang_25pct,is_isolated_gor_banjir_bandang_25pct,Jumlah_Grid
0,0.771,0.032,6.387,22.714,13.375,4.664,54.36,5.0,0.0,0.0,0.0,0.0,0.0,6098
1,0.524,0.113,227.567,399.255,274.122,213.017,275.535,1.589,0.558,0.992,0.667,0.521,0.673,609
2,0.655,0.047,12.773,48.97,27.982,9.806,52.362,4.999,0.0,0.0,0.0,0.0,0.0,10702
3,1.077,0.028,5.625,25.315,8.984,5.274,15.452,5.0,0.0,0.0,0.0,0.0,0.0,5264
