_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_100pct,waktu_tes_kesehatan_banjir_bandang_100pct,waktu_tes_pemerintahan_banjir_bandang_100pct,waktu_tes_ibadah_banjir_bandang_100pct,waktu_tes_gor_banjir_bandang_100pct,jumlah_opsi_rute_banjir_bandang_100pct,is_isolated_pendidikan_banjir_bandang_100pct,is_isolated_kesehatan_banjir_bandang_100pct,is_isolated_pemerintahan_banjir_bandang_100pct,is_isolated_ibadah_banjir_bandang_100pct,is_isolated_gor_banjir_bandang_100pct,Jumlah_Grid
0,0.655,0.055,14.021,52.483,29.267,10.775,55.658,4.988,0.002,0.004,0.002,0.002,0.002,10478
1,0.585,0.187,306.962,399.09,340.367,277.27,341.443,0.888,0.758,0.991,0.838,0.684,0.841,857
2,0.78,0.025,6.569,24.8,13.101,4.794,54.31,5.0,0.0,0.0,0.0,0.0,0.0,6382
3,1.081,0.005,5.449,27.181,8.977,5.025,15.205,4.994,0.0,0.006,0.0,0.0,0.0,4956
