_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_50pct,waktu_tes_kesehatan_banjir_50pct,waktu_tes_pemerintahan_banjir_50pct,waktu_tes_ibadah_banjir_50pct,waktu_tes_gor_banjir_50pct,jumlah_opsi_rute_banjir_50pct,is_isolated_pendidikan_banjir_50pct,is_isolated_kesehatan_banjir_50pct,is_isolated_pemerintahan_banjir_50pct,is_isolated_ibadah_banjir_50pct,is_isolated_gor_banjir_50pct,Jumlah_Grid
0,0.78,0.812,63.573,127.599,87.481,60.247,120.915,4.286,0.124,0.141,0.14,0.123,0.185,22671
1,0.867,2.0,402.263,402.263,402.263,402.263,402.263,0.0,1.0,1.0,1.0,1.0,1.0,1
2,0.928,2.0,402.263,402.263,402.263,402.263,402.263,0.0,1.0,1.0,1.0,1.0,1.0,1
