_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_0pct,waktu_tes_kesehatan_banjir_0pct,waktu_tes_pemerintahan_banjir_0pct,waktu_tes_ibadah_banjir_0pct,waktu_tes_gor_banjir_0pct,jumlah_opsi_rute_banjir_0pct,is_isolated_pendidikan_banjir_0pct,is_isolated_kesehatan_banjir_0pct,is_isolated_pemerintahan_banjir_0pct,is_isolated_ibadah_banjir_0pct,is_isolated_gor_banjir_0pct,Jumlah_Grid
0,0.788,0.835,11.516,35.023,21.794,9.702,39.214,4.97,0.005,0.007,0.007,0.004,0.007,21716
1,0.508,0.351,17.939,38.402,23.486,17.005,45.938,4.864,0.027,0.027,0.027,0.027,0.027,550
2,0.745,0.224,5.476,14.435,11.089,4.269,21.535,5.0,0.0,0.0,0.0,0.0,0.0,407
