_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_0pct,waktu_tes_kesehatan_banjir_bandang_0pct,waktu_tes_pemerintahan_banjir_bandang_0pct,waktu_tes_ibadah_banjir_bandang_0pct,waktu_tes_gor_banjir_bandang_0pct,jumlah_opsi_rute_banjir_bandang_0pct,is_isolated_pendidikan_banjir_bandang_0pct,is_isolated_kesehatan_banjir_bandang_0pct,is_isolated_pemerintahan_banjir_bandang_0pct,is_isolated_ibadah_banjir_bandang_0pct,is_isolated_gor_banjir_bandang_0pct,Jumlah_Grid
0,0.75,0.019,9.614,33.64,19.203,7.745,40.236,4.999,0.0,0.0,0.0,0.0,0.0,6582
1,0.564,0.023,23.174,58.713,42.823,20.234,61.732,4.859,0.022,0.033,0.033,0.021,0.033,5181
2,0.749,0.042,6.179,29.171,15.262,3.623,44.532,5.0,0.0,0.0,0.0,0.0,0.0,5662
3,1.067,0.083,4.881,19.128,7.572,4.834,19.347,5.0,0.0,0.0,0.0,0.0,0.0,5248
