_cl,Road_Density_mean,banjir,waktu_tes_pendidikan_banjir_25pct,waktu_tes_kesehatan_banjir_25pct,waktu_tes_pemerintahan_banjir_25pct,waktu_tes_ibadah_banjir_25pct,waktu_tes_gor_banjir_25pct,jumlah_opsi_rute_banjir_25pct,is_isolated_pendidikan_banjir_25pct,is_isolated_kesehatan_banjir_25pct,is_isolated_pemerintahan_banjir_25pct,is_isolated_ibadah_banjir_25pct,is_isolated_gor_banjir_25pct,Jumlah_Grid
0,0.751,0.625,9.572,39.768,23.772,7.049,35.703,4.999,0.0,0.0,0.0,0.0,0.0,8953
1,0.635,0.847,25.944,57.403,44.37,22.03,66.738,4.88,0.019,0.028,0.028,0.019,0.028,6649
2,0.955,1.016,6.463,24.023,10.21,5.678,27.737,5.0,0.0,0.0,0.0,0.0,0.0,7071
