_cl,Road_Density_mean,banjir_bandang,waktu_tes_pendidikan_banjir_bandang_0pct,waktu_tes_kesehatan_banjir_bandang_0pct,waktu_tes_pemerintahan_banjir_bandang_0pct,waktu_tes_ibadah_banjir_bandang_0pct,waktu_tes_gor_banjir_bandang_0pct,jumlah_opsi_rute_banjir_bandang_0pct,is_isolated_pendidikan_banjir_bandang_0pct,is_isolated_kesehatan_banjir_bandang_0pct,is_isolated_pemerintahan_banjir_bandang_0pct,is_isolated_ibadah_banjir_bandang_0pct,is_isolated_gor_banjir_bandang_0pct,Jumlah_Grid
0,0.79,0.038,10.705,34.801,21.07,8.765,41.867,4.969,0.005,0.007,0.007,0.004,0.007,21363
1,0.508,0.0,17.939,38.402,23.486,17.005,45.938,4.864,0.027,0.027,0.027,0.027,0.027,550
2,0.67,0.303,8.95,58.666,19.447,9.486,28.059,5.0,0.0,0.0,0.0,0.0,0.0,353
3,0.745,0.0,5.476,14.435,11.089,4.269,21.535,5.0,0.0,0.0,0.0,0.0,0.0,407
