Algoritma,Status,Silhouette,Calinski-Harabasz,Davies-Bouldin,Moran's I label,Proporsi tetangga rook sama,Size entropy,Klaster terbesar (%),I-Index,Dunn,DESC,PESC,DESC-N,PESC-N,Kontiguitas,Homogenitas,Waktu per inisialisasi (detik),ARI vs SDWFCM termodifikasi,Catatan
SDWFCM termodifikasi,layak,0.20536850899577186,6885.198778935364,1.2973725026834666,0.846598470267397,0.8537040349577083,1.3705480785153825,30.40179949719931,1.6151308802157707,0.004952802596928191,0.3411270059015691,0.0013680760958200396,0.045190891490205796,0.03287600583048125,0.06102621181164896,0.8073859518703632,2.057075,1.0,
"SDWFCM-Guo (λ = 0,5)",layak,0.1798375972174955,6791.044728267799,1.4168943728421368,0.7710408644491865,0.8318043594919888,1.3806792934597287,27.645216777665066,1.471058771602054,0.006992605291526237,0.3423919812025484,0.0012004735005080125,0.047171325141431394,0.0274253573094354,0.06781419104912587,0.8087674358611869,1.7137650966644287,0.7596130296197727,
FCM,layak,0.21057218464486144,7102.075832545732,1.3024621746786482,0.8082423038994748,0.8079114813584443,1.3699004464115334,31.138358399858863,1.6698103307629064,0.007921589686355883,0.31898369153718725,0.0008787394403034877,0.04054356377914592,0.030120571169027846,0.05453409389294979,0.8169105749416643,2.290674,0.835888500253789,
SFCM,layak,0.16533174534412462,6584.591822023261,1.4526658125021656,0.8329953950341176,0.7652876089234151,1.3804159004020389,27.892206589335334,1.4882760470230783,0.0071210487969746,0.2861823238661846,0.0005631284374430763,0.033449732817232715,0.027518816717018793,0.045601447287695634,0.8258790004032603,1.491722,0.6720758745092527,
REDCAP,layak,0.058352090216725,229.53635904074977,7.41041069253224,1.0,1.0,0.6402608413289829,82.19027036563314,0.08409552468244715,0.0043921438601742,1.131292304926169,0.00845976583982537,0.48582191321931395,0.9168396518634956,0.9502174185643324,0.5125022045009335,21.728795,0.012200329126507781,
SKATER,gagal — tidak layak dibandingkan,,,,,,,,,,,,,,,,5.53408,,gagal dijalankan; tidak layak dibandingkan
