K=2 \ K=3,K3-0,K3-1,K3-2,K3-0 (% baris K2),K3-1 (% baris K2),K3-2 (% baris K2)
K2-0,23690,15035,3,61.170212765957444,38.82204090064037,0.00774633340218963
K2-1,0,19577,21798,0.0,47.316012084592145,52.68398791540786
