Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tipologi 4,ke Tergenang (di luar klasterisasi)
Tipologi 1,6944,61,0,0,4
Tipologi 2,1,7210,33,0,2
Tipologi 3,0,4,8264,17,31
Tipologi 4,0,0,0,100,2
Tergenang (di luar klasterisasi),0,0,0,0,0
