K=3 \ K=4,K4-0,K4-1,K4-2,K4-3,K4-0 (% baris K3),K4-1 (% baris K3),K4-2 (% baris K3),K4-3 (% baris K3)
K3-0,19941,3706,6,16,84.249440196037,15.657611221428875,0.02534961341839537,0.06759896911572098
K3-1,456,22787,11435,71,1.3122679789346456,65.57598779821002,32.907421796310686,0.2043224265446488
K3-2,0,576,19774,1335,0.0,2.6562139727922527,91.18745676735071,6.156329259857044
