Klaster,Jumlah grid,% grid,Kepadatan jalan,Indeks bahaya,Waktu Pendidikan,Waktu Kesehatan,Waktu Pemerintahan,Waktu Tempat Ibadah,Waktu GOR/Gedung Serbaguna,Waktu minimum,Opsi rute,Proporsi kategori terisolasi,Interpretasi
0,4686,20.667755,1.028124,1.173922,4.788324,17.283209,7.493443,4.394653,21.509152,2.575705,5.0,0.0,Akses Baik · Bahaya Tinggi
1,5359,23.636043,0.655962,0.496548,7.988414,38.177023,21.571482,5.213661,41.694663,3.805312,4.982459,0.003508,Akses Baik · Bahaya Rendah
2,6902,30.441494,0.851659,0.960881,10.172806,28.173345,16.28821,8.708903,30.310359,7.134409,4.996378,0.000724,Akses Sedang · Bahaya Sedang
3,5726,25.254708,0.608628,0.632728,22.13051,53.705156,39.741833,19.756896,61.50178,18.043312,4.892595,0.0214808,Akses Rendah · Bahaya Sedang
