Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tipologi 4
Tipologi 1,1825,1363,863,113
Tipologi 2,5,3939,1614,162
Tipologi 3,1,13,5206,332
Tipologi 4,0,0,0,62
