Klaster,Variabel,Rerata,Median,P25,P75,P90,Baris penalti,% baris penalti
0,Waktu TES Pendidikan (menit),7.082395,6.084824,3.826209,9.010051,11.998053,38,0.09812
0,Waktu TES Kesehatan (menit),30.558602,24.933139,14.749847,39.428586,57.431781,64,0.165255
0,Waktu TES Pemerintahan (menit),13.916187,11.550123,6.691273,18.071279,24.861631,38,0.09812
0,Waktu TES Tempat Ibadah (menit),5.932555,4.936819,3.05709,7.347036,10.059551,39,0.100702
0,Waktu TES GOR/Gedung Serbaguna (menit),37.386828,26.81935,14.360896,45.212116,69.043807,491,1.267817
0,Waktu TES minimum (menit),4.239833,3.579903,2.180078,5.192742,6.813332,38,0.09812
1,Waktu TES Pendidikan (menit),32.27371,12.809876,9.12617,17.751015,26.722443,1966,4.751662
1,Waktu TES Kesehatan (menit),74.767289,47.016509,32.99197,69.372855,111.730409,2849,6.885801
1,Waktu TES Pemerintahan (menit),53.813857,28.100304,19.783603,40.51461,66.808437,2586,6.250151
1,Waktu TES Tempat Ibadah (menit),24.160933,10.367088,7.0542,14.571714,21.705991,1342,3.243505
1,Waktu TES GOR/Gedung Serbaguna (menit),90.520452,49.32699,32.363565,84.733187,403.289718,4293,10.375831
1,Waktu TES minimum (menit),22.47781,8.695872,6.126815,12.359821,18.910366,1322,3.195166
