Klaster,Jumlah baris,% baris,Median waktu minimum,P25 waktu minimum,P75 waktu minimum,Rerata waktu minimum,Baris waktu minimum = penalti,% baris waktu minimum = penalti,Proporsi terisolasi,Opsi rute (rerata),Kepadatan jalan (rerata),Kelas bahaya (deskriptif),Interpretasi
0,39147,48.870829,3.718047,2.315719,5.339419,4.314778,33,0.084298,0.000843,4.983013,0.859707,0.338136,Akses Baik
1,40956,51.129171,8.874222,6.293473,12.550423,23.127041,1357,3.313312,0.033133,4.677605,0.678841,0.283817,Akses Baik
