Level,K0 (grid),K0 (%),K1 (grid),K1 (%),Tergenang (grid),Tergenang (%)
Baseline,12440,54.867022,10233,45.132978,0,0.0
Rendah,12389,54.642085,10245,45.185904,39,0.172011
Sedang,9567,42.195563,9731,42.91889,3375,14.885547
Tinggi,4751,20.954439,10747,47.399991,7175,31.64557
