Algoritma,Status,Silhouette,Calinski-Harabasz,Davies-Bouldin,Moran's I label,Proporsi tetangga rook sama,Size entropy,Klaster terbesar (%),I-Index,Dunn,DESC,PESC,DESC-N,PESC-N,Kontiguitas,Homogenitas,Waktu per inisialisasi (detik),ARI vs SDWFCM termodifikasi,Catatan
SDWFCM termodifikasi,layak,0.2992603032649777,10166.301678991886,1.2558024456336092,0.833532562730102,0.9166432422763396,0.6805235509514678,57.92793190138049,1.7579096502642193,0.0067630616276552705,0.15988331288392274,0.00041992104535717686,0.06172749106414611,0.04323188535113892,0.09269066586963337,0.7208477343315135,0.260413,1.0,
"SDWFCM-Guo (λ = 0,5)",layak,0.29799683280768197,10270.428326528556,1.2519679528226537,0.8200814228027212,0.9092326169728874,0.6869133668835331,55.57711815816169,1.7547763467245105,0.006933698420779245,0.14886602834461388,0.0004026701089988327,0.05636544720174644,0.03916320813461412,0.08586469386583792,0.7292312441526374,0.20883748531341553,0.894740255384917,
FCM,layak,0.30522395597839197,10467.969395744516,1.2417930627225837,0.7679585242376508,0.884930876753635,0.6845603397709534,56.54302474308649,1.7955072354949457,0.01058561167069382,0.13130679005361018,0.0002822489895378251,0.0473091381872983,0.03892273444115061,0.07007147595350922,0.7419867661345914,0.247441,0.829671482861488,
SFCM,layak,0.2986142941776179,10298.093926551217,1.251635328394988,0.7621772070535572,0.8816088723072598,0.6894327278153798,54.30688484100031,1.7514842475337307,0.0074778824451197145,0.13377903766169616,0.00027154134329274426,0.04802944471006172,0.03827913770944269,0.07240281611154151,0.7452101440504109,0.154443,0.7779831255986622,
REDCAP,degeneratif — tidak layak dibandingkan,0.17193678904246823,72.17291049041987,8.075461045078729,1.0,1.0,0.21585535299546235,94.3986239139064,0.05618577944472235,0.005738942540023403,0.5134625612341088,0.0016645033963818823,0.39706765903205915,0.2791799234515807,0.7772237863209982,0.5125022045009335,23.840159,0.0004845602398346668,"degeneratif (klaster terbesar 94,4%; batas 90%)"
SKATER,gagal — tidak layak dibandingkan,,,,,,,,,,,,,,,,12.453131,,gagal dijalankan; tidak layak dibandingkan
