Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tipologi 4,ke Tergenang (di luar klasterisasi)
Tipologi 1,1825,1363,863,113,2845
Tipologi 2,5,3939,1614,162,1526
Tipologi 3,1,13,5206,332,2764
Tipologi 4,0,0,0,62,40
Tergenang (di luar klasterisasi),0,0,0,0,0
