Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tipologi 4,ke Tergenang (di luar klasterisasi)
Tipologi 1,4634,1128,202,40,941
Tipologi 2,11,6038,701,42,483
Tipologi 3,2,17,6061,347,1870
Tipologi 4,0,0,3,72,42
Tergenang (di luar klasterisasi),0,0,0,0,39
