Klaster,Jumlah baris,% baris,Kepadatan jalan,Kelas bahaya (deskriptif),Waktu Pendidikan,Waktu Kesehatan,Waktu Pemerintahan,Waktu Tempat Ibadah,Waktu GOR/Gedung Serbaguna,Waktu minimum,Opsi rute,Terisolasi (proporsi),Proporsi kategori terisolasi,Interpretasi
0,42701,59.081287,0.808189,0.518161,8.109309,37.174744,18.006303,6.750234,39.651027,4.878097,4.991944,0.000187,0.001611,Akses Baik · Bahaya Sedang
1,29574,40.918713,0.68324,0.24721,54.817388,139.307195,84.207656,45.702256,102.627578,41.827251,4.386251,0.075573,0.12274979999999999,Akses Kritis · Bahaya Rendah
