Level vs Baseline,Perubahan K2 (poin persen),Perubahan K3 (poin persen),Perubahan K4 (poin persen)
Rendah,"Tipologi 1 −0,2; Tipologi 2 +0,1; Tergenang (di luar klasterisasi) +0,2","Tipologi 1 −0,3; Tipologi 2 +0,1; Tipologi 3 +0,0; Tergenang (di luar klasterisasi) +0,2","Tipologi 1 −0,3; Tipologi 2 +0,1; Tipologi 3 −0,1; Tipologi 4 +0,1; Tergenang (di luar klasterisasi) +0,2"
Sedang,"Tipologi 1 −12,5; Tipologi 2 −2,4; Tergenang (di luar klasterisasi) +14,9","Tipologi 1 −10,0; Tipologi 2 −5,1; Tipologi 3 +0,2; Tergenang (di luar klasterisasi) +14,9","Tipologi 1 −10,4; Tipologi 2 −0,3; Tipologi 3 −5,9; Tipologi 4 +1,8; Tergenang (di luar klasterisasi) +14,9"
Tinggi,"Tipologi 1 −33,7; Tipologi 2 +2,0; Tergenang (di luar klasterisasi) +31,6","Tipologi 1 −24,3; Tipologi 2 −17,7; Tipologi 3 +10,4; Tergenang (di luar klasterisasi) +31,6","Tipologi 1 −22,8; Tipologi 2 −8,5; Tipologi 3 −2,8; Tipologi 4 +2,5; Tergenang (di luar klasterisasi) +31,6"
