Klaster,Jumlah baris,% baris,Median waktu minimum,P25 waktu minimum,P75 waktu minimum,Rerata waktu minimum,Baris waktu minimum = penalti,% baris waktu minimum = penalti,Proporsi terisolasi,Opsi rute (rerata),Kepadatan jalan (rerata),Kelas bahaya (deskriptif),P90 waktu minimum,Proporsi waktu minimum > 30 menit,Proporsi waktu minimum > 20 menit,Proporsi waktu minimum > 40 menit,Proporsi Terputus,Tipologi
0,20397,25.463466,3.443805,2.114995,4.99195,3.734177,0,0.0,0.0,4.99446,0.974688,0.434083,6.614304,0.0,0.0,0.0,0.0,Tipologi 1 (terbaik)
1,27069,33.792742,4.279764,2.806811,5.724271,4.31468,0,0.0,0.0,4.946322,0.705323,0.193284,6.923916,0.0,0.000148,0.0,0.0,Tipologi 2
2,31215,38.968578,9.887238,7.835781,13.161928,11.801545,21,0.067275,0.000673,4.830883,0.692204,0.329553,18.230284,0.026462,0.076694,0.007432,0.000673,Tipologi 3
3,1422,1.775214,403.86917,403.86917,403.86917,390.12404,1369,96.272855,0.962729,0.060478,0.616945,0.343179,403.86917,0.988045,0.992264,0.981013,0.962729,Tipologi 4 (terburuk)
