Klaster,Jumlah baris,% baris,Median waktu minimum,P25 waktu minimum,P75 waktu minimum,Rerata waktu minimum,Baris waktu minimum = penalti,% baris waktu minimum = penalti,Proporsi terisolasi,Opsi rute (rerata),Kepadatan jalan (rerata),Kelas bahaya (deskriptif),P90 waktu minimum,Proporsi waktu minimum > 30 menit,Proporsi waktu minimum > 20 menit,Proporsi waktu minimum > 40 menit,Proporsi Terputus,Tipologi
0,23690,29.574423,3.115833,1.87222,4.573231,3.73519,21,0.088645,0.000886,4.985732,0.935332,0.394808,6.001588,0.000886,0.000886,0.000886,0.000886,Tipologi 1 (terbaik)
1,34612,43.209368,5.644591,3.773519,7.613574,6.659596,75,0.216688,0.002167,4.972726,0.723041,0.244193,9.47023,0.002167,0.002167,0.002167,0.002167,Tipologi 2
2,21801,27.216209,11.702287,8.614579,16.358459,35.559426,1264,5.797899,0.057979,4.430118,0.654724,0.323655,28.944955,0.095913,0.167607,0.06885,0.057979,Tipologi 3 (terburuk)
