Level,Pendidikan,Kesehatan,Pemerintahan,Tempat Ibadah,GOR/Gedung Serbaguna
Baseline,12,0,7,46,3
Rendah,20,0,7,46,3
Sedang,17,0,2,57,0
Tinggi,6,0,0,38,0
