Algoritma,Status,Silhouette,Calinski-Harabasz,Davies-Bouldin,Moran's I label,Proporsi tetangga rook sama,Size entropy,Klaster terbesar (%),I-Index,Dunn,DESC,PESC,DESC-N,PESC-N,Kontiguitas,Homogenitas,Waktu per inisialisasi (detik),ARI vs SDWFCM-Guo harfiah,Seed konvergen (dari 10),ARI vs SDWFCM termodifikasi,Catatan
"SDWFCM-Guo (d², λ = 0,5) — K = 4",layak,0.21504788580636472,7070.05439677696,1.3115114402222874,0.8467568083079745,0.8418470344721846,1.3509487107507352,36.21929166850439,1.7964257071717133,0.004728139574015258,0.34728311655020944,0.0012287205812641906,0.0449968288242406,0.034331784337199925,0.06095088347160728,0.8079935442119134,1.298321509361267,0.6983579360407945,10,0.7507395601510974,
"SDWFCM-Guo (λ = 0,3) — K = 4",layak,0.1931088613699865,6885.044225463208,1.3766496559145476,0.7781306201741968,0.8447857307132088,1.3773982901347994,29.581440479865922,1.5572635378319104,0.005746975225420889,0.3275449650242234,0.0012708305921177673,0.04172164637227473,0.03303257727341187,0.057163932770309525,0.8095470473285635,1.4614924669265748,0.8919094668698523,10,0.8067015256030232,
"SDWFCM-Guo (λ = 0,7) — K = 4",layak,0.12310175670065093,6078.138872101693,1.636529155968316,0.8830706201366443,0.7844274653106074,1.3729970140060093,30.961937105808673,1.2712312021125527,0.006156501257349671,0.2817846530643248,0.0007316885286608474,0.03988351042385321,0.02234405148105744,0.059023116589528274,0.8196623296256695,2.1301730394363405,0.7002068903660797,8,0.54013908284079,
"SDWFCM-Guo (d², λ = 0,5) — K = 2",layak,0.30116667420059784,10298.33581754309,1.2493678390485188,0.8149671232969913,0.906983875501495,0.6833721367780017,56.97966744586071,1.7717409608511785,0.0068732571577916225,0.142868293489857,0.0003923449060410562,0.053413647630334474,0.03970525121053538,0.08007201028798952,0.7307061415093277,0.22054786682128907,0.9429546727641712,10,0.9047678909413561,
"SDWFCM-Guo (λ = 0,3) — K = 2",layak,0.29698692023785916,10195.525653720846,1.255557678625137,0.8306151376436763,0.9143689469245905,0.6857788253485891,56.06227671679972,1.7464989930582948,0.006988427539493376,0.14605092985962398,0.00044014684364418043,0.055286589586224844,0.04043983733114502,0.08308923064167084,0.7245553812037252,0.19536254405975342,0.9705741920301668,10,0.9067950697383017,
"SDWFCM-Guo (λ = 0,7) — K = 2",layak,0.2992644748225857,10368.938810323529,1.247104517090843,0.8031809520266616,0.9009531597373062,0.6882370098763935,54.950822564283506,1.7659132033673908,0.008399662359853347,0.14817282861403172,0.00035292112073206277,0.05561903680491353,0.03753336744404189,0.0845971142078753,0.7324762168943725,0.246093487739563,0.9563737931214351,10,0.8642956377246581,
