Klaster,Jumlah grid,% grid,Kepadatan jalan,Indeks bahaya,Waktu Pendidikan,Waktu Kesehatan,Waktu Pemerintahan,Waktu Tempat Ibadah,Waktu GOR/Gedung Serbaguna,Waktu minimum,Opsi rute,Proporsi kategori terisolasi,Interpretasi
0,11177,49.29652,0.714864,0.429364,11.145039,68.797835,35.95323,10.584737,77.527584,7.822293,4.999463,0.00010739999999999998,Akses Sedang · Bahaya Rendah
1,4795,21.148503,0.851165,0.579353,14.735838,351.784976,84.152696,14.964311,112.532792,6.999426,3.908029,0.21839399999999998,Akses Kritis · Bahaya Sedang
2,1117,4.926565,0.651983,0.976723,293.316018,367.631697,364.349253,72.597385,400.816006,26.264844,1.347359,0.7305282,Terisolasi · Bahaya Sedang
3,5584,24.628413,0.876901,1.745881,402.26338,402.26338,402.26338,402.26338,402.26338,402.26338,0.0,1.0,Terisolasi · Bahaya Tinggi
