Transisi,Masuk Tergenang (grid),Masuk Tergenang (% semua grid),Grid non-Tergenang di kedua level,Stability rate (%),ARI,Transisi dominan,Jumlah (dominan),Dominan menuju,Active edges,Edge mungkin,CDVM
Baseline → Rendah,39,0.172011,22634,99.514005,0.98456,K0 → K1,66,tipologi lain,7,12,0.003043
Rendah → Sedang,3336,14.713536,19298,86.972743,0.644656,K2 → Tergenang,1260,Tergenang,8,12,0.149341
Sedang → Tinggi,3800,16.760023,15498,70.228417,0.317454,K1 → K2,2810,tipologi lain,8,12,0.26891
Baseline → Tinggi,7175,31.64557,15498,62.517744,0.222479,K1 → K2,3280,tipologi lain,8,12,0.420324
