Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tergenang (di luar klasterisasi)
Tipologi 1,7818,61,0,4
Tipologi 2,0,9893,43,6
Tipologi 3,0,5,4814,29
Tergenang (di luar klasterisasi),0,0,0,0
