Level,Kelompok,n,Median DI,P25,P75,P90
Baseline,TAS,68,12.829446,8.295864,18.241981,29.529761
Baseline,Non-TAS,22448,1.590304,1.34517,2.148184,3.166543
Rendah,TAS,76,12.136577,8.295864,17.83761,28.459225
Rendah,Non-TAS,22387,1.598494,1.347331,2.164408,3.181257
Sedang,TAS,76,11.885492,9.328551,16.031341,19.331816
Sedang,Non-TAS,18629,1.605709,1.349806,2.183314,3.297758
Tinggi,TAS,44,13.515669,8.354429,23.847581,49.651628
Tinggi,Non-TAS,14515,1.623053,1.356967,2.230613,3.344785
