Ukuran,K2,K3,K4
Grid yang turun ke tipologi terburuk (K−1) pada Sedang → Tinggi,2638,3352,497
Tipologi terburuk (label),Tipologi 2 (terburuk),Tipologi 3 (terburuk),Tipologi 4 (terburuk)
