Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tipologi 4
Tipologi 1,4634,1128,202,40
Tipologi 2,11,6038,701,42
Tipologi 3,2,17,6061,347
Tipologi 4,0,0,3,72
