Dari,ke Tipologi 1,ke Tipologi 2,ke Tipologi 3,ke Tergenang (di luar klasterisasi)
Tipologi 1,2355,1229,533,1499
Tipologi 2,18,4671,2819,1282
Tipologi 3,0,21,3852,1019
Tergenang (di luar klasterisasi),0,0,0,3375
