Metrik,Nilai
I-Index,1.333289
Ketegasan partisi,0.300957
Koefisien partisi (PC),0.526311
Entropi partisi (PE),0.79978
Dunn (rerata 5 sampel),0.002866
Dunn (sd 5 sampel),0.001374
DESC (blok rook),0.068991
PESC (km),2980.8610570896085
Silhouette (sampel 10.000),0.156323
Size entropy,1.076273
Klaster terbesar (%),43.380398
Proporsi tetangga rook berlabel sama,0.885218
