Tahap,Nilai
Fitur masukan,"Road_Density_mean, waktu_tes_pendidikan, waktu_tes_kesehatan, waktu_tes_pemerintahan, waktu_tes_ibadah, waktu_tes_gor, waktu_tes_min, jumlah_opsi_rute, is_isolated, banjir"
Fitur terpilih (seleksi di Baseline),"Road_Density_mean, waktu_tes_pendidikan, waktu_tes_kesehatan, waktu_tes_pemerintahan, waktu_tes_ibadah, waktu_tes_gor, waktu_tes_min, jumlah_opsi_rute, is_isolated, banjir"
Fitur dibuang,–
Capping 3 × IQR,"Road_Density_mean: [-0,332; 1,883]"
Komponen PCA,5
Varians kumulatif PCA,"85,19 %"
