K=2 \ K=4,K4-0,K4-1,K4-2,K4-3,K4-0 (% baris K2),K4-1 (% baris K2),K4-2 (% baris K2),K4-3 (% baris K2)
K2-0,20432,17706,552,38,52.757694691179516,45.7188597397232,1.425325346002892,0.09812022309440198
K2-1,0,9313,30711,1351,0.0,22.508761329305134,74.22598187311178,3.2652567975830813
