Metrik,Nilai
I-Index,15.036863
Ketegasan partisi,0.45639
Koefisien partisi (PC),0.541619
Entropi partisi (PE),0.792956
Dunn (rerata 5 sampel),0.006697
Dunn (sd 5 sampel),0.003801
DESC (blok rook),76.31053
PESC (km),124.49422670227864
Silhouette (sampel 10.000),0.20271
Size entropy,1.153756
Klaster terbesar (%),38.968578
Proporsi tetangga rook berlabel sama,0.872071
