K=2 \ K=3,K3-0,K3-1,K3-2,K3-0 (% baris K2),K3-1 (% baris K2),K3-2 (% baris K2)
K2-0,23669,15476,2,60.46184892839809,39.533042123278925,0.005108948322987713
K2-1,0,19273,21683,0.0,47.05781814630335,52.942181853696646
