Level,K0 (grid),K0 (%),K1 (grid),K1 (%),K2 (grid),K2 (%),K3 (grid),K3 (%),Tergenang (grid),Tergenang (%)
Baseline,7009,30.913421,7237,31.919023,8314,36.669166,113,0.49839,0,0.0
Rendah,6938,30.600273,7277,32.095444,8291,36.567724,128,0.564548,39,0.172011
Sedang,4639,20.46046,7196,31.738191,6966,30.723768,497,2.192035,3375,14.885547
Tinggi,1811,7.987474,5359,23.636043,7644,33.714109,684,3.016804,7175,31.64557
