Level,Grid Tergenang,% grid,Grid non-Tergenang,Tergenang & terisolasi,"Rerata waktu minimum grid Tergenang (menit, informasi)"
Baseline,0,0.0,22673,0,
Rendah,39,0.172011,22634,2,36.83447
Sedang,3375,14.885547,19298,1751,213.351176
Tinggi,7175,31.64557,15498,4759,271.842878
